Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,sentiment,sentiment_label,processed_text
165257,B000EVG8J2,A1L01D2BD3RKVO,"B. Miller ""pet person""",0,0,5,1268179200,Crunchy & Good Gluten-Free Sandwich Cookies!,"Having tried a couple of other brands of gluten-free sandwich cookies, these are the best of the bunch.  They're crunchy and true to the texture of the other ""real"" cookies that aren't gluten-free.  Some might think that the filling makes them a bit too sweet, but for me that just means I've satisfied my sweet tooth sooner!  The chocolate version from Glutino is just as good and has a true ""chocolatey"" taste - something that isn't there with the other gluten-free brands out there.",2,positive,Tried couple brand gluten free sandwich cooky best bunch crunch true texture real cooky not gluten free might think fill make bit too sweet mean satisfied sweet tooth sooner chocolate version latino good true chocolate taste something not gluten free brand
231466,B0000BXJIS,A3U62RE5XZDP0G,Marty,0,0,5,1298937600,great kitty treats,"My cat loves these treats. If ever I can't find her in the house, I just pop the top and she bolts out of wherever she was hiding to come get a treat. She doesn't like crunchy treats much, so these are perfect for her. I've given her all three flavors and she seems to like them all equally. They do tend to dry out by the time I near the end of the bottle, however. The flip-top lid is very handy. Very nice, inexpensive kitty treats. I have yet to meet a cat that doesn't just love these!",2,positive,Cat love treat ever can not find house pop top bolt wherever hide come get treat not like crunch treat much perfect give three flavor seem like equally tend dry time near end bottle however flip top lid very handy very nice inexpensive kitty treat yet meet cat not love
427828,B008FHUFAU,AOXC0JQQZGGB6,Kenneth Shevlin,0,2,3,1224028800,COFFEE TASTE,A little less than I expected.  It tends to have a muddy taste - not what I expected since they said it was the favorite of the company.,1,neutral,Little less expected tends muddy taste not expect since say favorite company
433955,B006BXV14E,A3PWPNZVMNX3PA,rareoopdvds,0,1,2,1335312000,So the Mini-Wheats were too big?,"First there was Frosted Mini-Wheats, in original size, then there was Frosted Mini-Wheats Bite Size. Well, if for some reason those were too much of a mouthful, we now have Frosted Mini-Wheats Little Bits. Yes, these are about half the size of the Bite Size versions. This particular one is ""Cinnamon Roll"".<br /><br />There is nothing new to the table here with the exception of size, which I is unnecessary. Personally, I like original flavor and size the best. But the Bite Size edition were accommodating. These come off as a desperate attempt to give attention to a brand that needs some sort of life put back into it and all they came up with was making them smaller and having a new flavor, which is actually too sweet for me.<br /><br />A serving size is approximately 47 biscuits. Thats 1 gram of polyunsaturated fat, 46 grams of carbohydrates, 6g fiber, 12g of sugar, 5g of protein and 200mg of potassium. Generally they look good but I guess those that are watching their carb intake might want to be careful.<br /><br />These probably fit on a spoon better than its predecessors in a bowl of milk, but I like the other kinds cause they snack better without the milk. But here, these small ones are easily to snack more than you should.<br /><br />I am grading this product 2 stars for 3 reasons 1) I dont think making them smaller has any reason for existing outside of Kellogs filling the shelves with more versions of something that was fine to begin with. 2) This flavor, Cinnamon Roll, is sweet and has a synthetic taste to it. 3) On the plus side, I like Mini-Wheats in general, so it saved it from being one star.",0,negative,First front mini wheat original size front mini wheat bite size well reason too much youthful front mini wheat little bit yes half size bite size version particular one cinnamon roll nothing new table exception size unnecessary personally like original flavor size best bite size edition accommodate come desperate attempt give attention brand need sort life put back come make small new flavor actually too sweet serve size approximately biscuits thats gram polyunsaturated fat gram carbohydrate g fiber g sugar g protein mg potassium generally look good guess watch car intake might want careful probably fit spoon good predecessor bowl milk like kind cause snack well without milk small one easily snack grade product star reason dont think make small reason exist outside fellow fill shelf version something fine begin flavor cinnamon roll sweet synthetic taste plus side like mini wheat general save one star
70261,B007I7Z3Z0,A1XNZ7PCE45KK7,Og8ys1,0,2,5,1334707200,Great Taste . . .,"and I want to congratulate the graphic artist for putting the entire product name on such a small box.  The ad men must have really thought long and hard.<br /><br />But seriously, I love the product. The taste was refreshing and I thought that the taste was pleasing with no aftertaste.  Not too sweet and Goldilocks would have stopped right there if there was a choice of 3.  Easy to use as you just pour the contents into a 16 oz bottle of water and shake.  Mixed well, no granulation, you really couldn't ask for anything more and Lipton like a good drug dealer knows what they are doing, give me a taste for free and have me for life.  5 stars.",2,positive,Want congratulate graphic artist put entire product name small box ad men must really think long hard seriously love product taste refresh think taste please no aftertaste not too sweet goldilocks would stop right choice easy use pour content oz bottle water shake mixed well no translation really could not ask anything listen like good drug dealer know give taste free life star
49867,B000FKMNSM,A1XWK6ZWTW4C3B,"Tammie Travis ""//Tt//""",3,3,4,1261958400,Lifesavers - Pineapple flavor,"Please add more Pineapple flavor to your packages of lifesavers, in fact, can you sell pineapple flavor by itself?",2,positive,Please add pineapple flavor package lifesaver fact sell pineapple flavor
551048,B000XEV9YE,A1ZXQSWCMQ74PV,A. Stein,2,2,5,1250985600,The Best Tea!,I absolutely love Yorkshire tea and am so glad it is now available on Amazon!  A cup of this full-bodied black tea with milk in the morning is how I start each day and just love it!,2,positive,Absolutely love yorkshire tea glad available amazon cup full body black tea milk morning start day love
18984,B000F4H5FO,AKUB840XVHT3,"Jo A. Brixie ""Jo Ann Brixie""",0,0,5,1291161600,Lady Grey a hit!,I have such a hard time finding loose tea locally. Being able to order my favorite Lady Grey tea on Amazon is convenient and timesaving. The tea comes in a six-pack of tins that are just the right size to insure continued freshness. Speedy shipping too!,2,positive,Hard time find loose tea locally able order favorite lady grey tea amazon convenient timesaving tea come six pack win right size insure continue freshness speedy shipping too
138969,B0041CIR62,A1FPQ54AIB26L0,Mike Wallace,0,1,4,1327536000,Pretty good rice noodles,"Previously, I've attempted a recipe with white rice noodles and overcooked them, which made them soggy. So I was determined not to overcook these brown rice noodles. I tried making two dishes. The first was a miso soup with brown rice noodles, which was really just broth with miso and green onions and the noodles added when it was hot. The noodles softened and puffed up, but I think I should of softened them in water and maybe rinsed them first. The broth ended up being a little starchy from the noodles, but it was pretty good.<br /><br />The noodles by themselves don't really have any flavor, they just take on the flavor of whatever dish they are in. So the rice noodles in miso probably wasn't the best idea because the mild miso flavor didn't really give the noodles much flavor. I also tried stir frying the noodles which was much better. I just soaked the noodles in hot water, for about a minute, and then drained them. They came out clear and kind of crunchy. Then I stir fried them with garlic, onion, salt, and coconut oil. I also added some vinegar and nama shoyu for flavor. These noodles came out crunchy and spicy and actually were pretty good.<br /><br />The nice thing about these noodles is they only need about a minute in warm water and then they can be fried or added to soups or other dishes, so they are fairly versatile. They are also gluten free and the brown rice noodles seem more firm than the white rice noodles. As another reviewer posted it does look like these noodles are made in Singapore.",2,positive,Previously attempt recipe white rice noodle overlook make foggy determine not overlook brown rice noodle try make two dish first misc soup brown rice noodle really broth misc green onion noodle add hot noodle soften pulled think soften water maybe ring first broth end little starch noodle pretty good noodle not really flavor take flavor whatever dish rice noodle misc probably not best idea mild misc flavor not really give noodle much flavor also try stir frying noodle much well soaked noodle hot water minute drain come clear kind crunch stir fry garlic onion salt coconut oil also add vinegar nama show flavor noodle come crunch spicy actually pretty good nice thing noodle need minute warm water fry added soup dish fairly versatile also gluten free brown rice noodle seem firm white rice noodle another reviewer post look like noodle make singapore
36353,B001LQRKC8,A1LKBZ7U9DSF4K,T. Mulvaney,1,1,5,1321228800,Simply the best,"I make pancakes or waffles every Saturday morning with my kids, and there simply is no comparison between this product and any other baking powder I have come across. Even the more expensive brands from Trader Joe's or Whole Foods pale in comparison. Batter comes out light and fluffy every time, and my kids love them. I have also been known to eat a pancake or two. Get the pack of 6 and store up.",2,positive,Make pancake wale every saturday morning kid simply no comparison product bake powder come across even expensive brand trader joe whole food pale comparison batter come light fluffy every time kid love also know eat pancake two get pack store
